name,gender,count
Emma,F,19414
Olivia,F,19246
Ava,F,16237
Sophia,F,16070
Isabella,F,14722
Mia,F,14366
Charlotte,F,13030
Abigail,F,11699
Emily,F,10926
Harper,F,10733
Amelia,F,10702
Evelyn,F,10060
Elizabeth,F,9493
Sofia,F,9134
Madison,F,8982
Avery,F,8733
Ella,F,7866
Scarlett,F,7680
Grace,F,7531
Chloe,F,7410
Victoria,F,7267
Riley,F,7110
Aria,F,6904
Lily,F,6558
Aubrey,F,6507
Zoey,F,6414
Penelope,F,6367
Lillian,F,6333
Addison,F,6295
Layla,F,6234
Natalie,F,6156
Camila,F,6036
Hannah,F,5976
Brooklyn,F,5922
Zoe,F,5706
Nora,F,5561
Leah,F,5380
Savannah,F,5336
Audrey,F,5330
Claire,F,5190
Eleanor,F,5100
Skylar,F,5099
Ellie,F,5045
Samantha,F,4924
Stella,F,4912
Paisley,F,4839
Violet,F,4837
Mila,F,4802
Allison,F,4762
